,who,text
1431,the working week,"➡️In an interview with The Telegraph, Mr Rees-Mogg – the Cabinet minister in charge of government efficiency – accused civil servants of working from home on Mondays and Fridays because they  think that the working week is shorter than it really is"
1432,Jacob Rees - Mogg,"🔴Jacob Rees-Mogg has told of his  suspicions  that civil servants are only working a three-day week, as the Government went to war with Whitehall mandarins"
1433,Jacob Rees - Mogg,"Jacob Rees-Mogg declares war on three-day week’ for the Civil Service

Working from home is being used as an excuse for long weekends, says Cabinet minister in charge of efficiency

🔓 This front page story is currently free to read 👇"
1434,0,"🔴Working from home is being used as an excuse for long weekends, says Cabinet minister in charge of efficiency"
1435,0,"📰The front page of tomorrows Daily Telegraph:

Rees-Moggs war on 3-day week for the Civil Service



Sign up for the Front Page newsletter"
1436,More than a million visitors,"More than a million visitors descend on a tiny courtyard in the northern city of Verona every year, infuriating locals"
1437,everyone,"✍️ We have entered the age of oversharing, when everyone has to let everyone else... when they have been wronged or offended, rather than doing the more sensible... thing of simply sucking it up  | Writes @CamillaTominey"
1438,0,"🔴The Turkish president spoke out on Friday night opposing Finland and Sweden’s attempts to join Nato, in a blow to their hopes for rapid accession to the military alliance

Read more ⬇️"
1439,0,🔴 EXCLUSIVE: Victim’ breaks silence to reveal alleged sexual harassment at hands of Christ Church dean
1440,The policewoman,🔴The policewoman won a tribunal against Police Scotland in a case that involved topless photos of women being posted in a work WhatsApp group
1441,Outsiders,🏠Outsiders buying up property as second homes and holiday lets have driven a fractious row amid a lack of affordable housing
1442,The collapse in the value of the pound,"✍️ The collapse in the value of the pound is also a damning verdict on Boris Johnson, the Prime Minister, and his increasingly hapless Chancellor, Rishi Sunak  | Writes @mattlynnwriter"
1443,0,Activists claim selection process to choose by-election contenders was a stitch up by London leadership
1444,"🔴 Alina Kabaeva , Olympic gymnast long rumoured to be Russian president ’s girlfriend ,","🔴Alina Kabaeva, Olympic gymnast long rumoured to be Russian president’s girlfriend, among latest to be targeted"
1445,The Telegraph,🔴The Telegraph understands that those leading the drive to reduce the size of the civil service are looking at shrinking units which led the UK’s response to the pandemic
1446,The former Top Gear presenter,"🔴The former Top Gear presenter claims local planners are influenced by villagers, hindering his chances of improving his Diddly Squat farm"
1447,Wagatha,"Listen to this evenings Two-Minute Briefing from @TheChrisPrice:
🔴How millions face living in unsellable homes
🔴@CamillaTominey on why Wagatha is a symbol of me-me-me Britain
🔴Why cryptocurrencies crashed – and what happens next
Subscribe 👇"
1448,0,Three men have been arrested on suspicion of involvement in female genital mutilation after police discovered surgical equipment at an unregistered school in Birmingham
1449,your hay fever,"🔴There are reasons why your hay fever is so bad this year. 

Read the six natural ways to treat it here⬇️"
1450,fashion publisher,🔴Locals rally behind landlord after fashion publisher demands 200-year-old inn changes its name so people are not confused
1451,0,"⚡️With sufferers on the rise, we look at whether planting the wrong’ type of tree is the new horticultural trigger and remedies for it"
1452,The UK,"➡️Answer: True

Tree pollens can cause asthma and PFS. The UK has the highest rate of asthma in the world"
1453,Tree pollen,❓True or false: Tree pollen can cause asthma?
1454,masks,"➡️Answer: True 

Dr Genis Scadding, a consultant allergist and respiratory specialist, suggests masks should be worn by all pollen allergics when outside’ as they help protect the wearer from pollen"
1455,0,❓True or false: Wearing a face mask will help combat the effects during a high pollen count?
1456,0,"➡️Answer: True 

Two main types of pollen, from trees and grasses, are released at the same time, making May the danger zone for most sufferers"
1457,0,"❓True or False: In the middle of May, two main types of pollen are released at the same time?"
1458,More than 13 million people in the UK,"Welcome to hay fever hell season 

More than 13 million people in the UK are stricken by pollen allergies, just as we’re experiencing shortages of the active ingredient in hay fever remedies 

This is what you need to know about pollen allergies🧵👇"
1459,"Professor David Abulafia , a fellow of Gonville and Caius College ,","🔴Professor David Abulafia, a fellow of Gonville and Caius College, warned there was a  simple fact of discrimination  in admissions policies tilting towards state schools"
1460,Nazanin Zaghari - Ratcliffe,"🔴Nazanin Zaghari-Ratcliffe has confronted Boris Johnson over his gaffe that caused her remain in prison in Iran, telling the Prime Minister:  I lived in the shadow of your words for four and a half years. 

Read more here ⬇️"
1461,John Bassam,John Bassam reveals how he achieved the perfect indoor garden
1462,Nicola Sturgeon,✍️ I wouldn’t be at all surprised if Nicola Sturgeon is hoping to cash in on whatever anti-British opinion is kicking around in her forthcoming visit to the USA  | Writes Alan Cochrane
1463,the Med,🩴 Give the Med a miss this summer and head for Germany’s serene sands instead
1464,Coleen Rooney,"Heres your evening briefing by @TheChrisPrice:

🔴Covid jobs in line of fire in civil service cuts

🔴Coleen Rooney takes the stand in Wagatha Christie

🔴Queen’s first public appearance since March"
1465,Ukraine : The Latest podcast :,"🎧 On todays Ukraine: The Latest podcast:

🔴Discussing Ukraines attack on a Russian ship near Snake Island
🔴 An interview with Timur Miroshnich, Ukraines commentator for Eurovision, who has been broadcasting from a bomb shelter 👇"
1466,the Archbishop of Canterbury over English,"✉️ A furious Queen Victoria planned to admonish the Archbishop of Canterbury over English attempts to  destroy  the Church of Scotland, a newly discovered letter has revealed."
1467,episode of Ukraine : The Latest @djknowles22,"🎙️On todays episode of Ukraine: The Latest @djknowles22 speaks to Timur Miroshnich, Ukraines commentator for the  Song Contest, who has been broadcasting from a bomb shelter

Listen here 👇"
1468,Zelensky,"🔴NEW: Stop looking for a way out for Russia, Zelensky tells Macron

Follow the latest updates on our liveblog here ⬇️"
1469,Eleanor Atkinson ’s death,Eleanor Atkinson’s death ruled as tragic accident’ as inquest hears Covid vaccine may have contributed to mother’s blackout
1470,Ukraines commentator for Eurovision,"🎧 On todays Ukraine: The Latest podcast:

🇺🇦 @djknowles22 speaks to @DomNicholls, @venetiarainey and @FrancisDearnley about Ukraines attack on a Russian ship.

🔴 An interview with Timur Miroshnich, Ukraines commentator for Eurovision

Listen 👇"
1471,Jacob Rees - Mogg ’s own department,"📈 Jacob Rees-Mogg’s own department has more than doubled its workforce since Brexit, analysis by The Telegraph shows.

The Cabinet Office and the Department for Education, have seen the largest increase in staff since December 2015"
1472,Brussels,🔴 Brussels could shelve its plans for an embargo on Russia oil imports amid mounting tensions over the bloc’s attempts to roll out a sixth package of economic sanctions against Moscow
1473,"Lourest Koetsier , 63 ,","Lourest Koetsier, 63, suffered a severe spinal cord injury when he was thrown from his horse while riding on a beach in Pembrokeshire"
1474,Our writer,"✈️ Our writer tried to get his money back, after KLM cancelled his flights only 24 hours after they were booked"
1475,It,⚽  It is possibly the most provocative example of overt sportswashing seen in British football  | Writes Luke Edwards
1476,The Business Secretary,🔴 The Business Secretary has said the governments bid to boost Britains nuclear output will have a  small effect  on energy bills as ministers replace Chinese investment with a new funding model.
1477,A 55 - year - old Chinese man,📚A 55-year-old Chinese man has taken a gruelling university entrance exam 26 years in a row after refusing to give up on his dream of attending a top school
1478,London house prices,"🏠 London house prices will fall by 10pc in the next two years.

Capital Economics has forecast property values in London will fall by a tenth over 2023 and 2024 compared with a 5pc drop across the country."
1479,Vladimir Putins ex-wife targeted in latest UK sanctions,"🔴NEW: Vladimir Putins ex-wife targeted in latest UK sanctions

Follow all the latest updates here ⬇️"
1480,One of our greatest blockbuster directors,"🎬 One of our greatest blockbuster directors has become mired in motion-captured mediocrity. 

❓Will his blue period ever end?"
1481,0,🎥 Watch: Entire Russian battalion is destroyed in catastrophic river crossing mission in the Donbas
1482,Rishi Sunak,🔵 Rishi Sunak has blamed a  complicated  IT system for not raising welfare benefits to shield the most vulnerable from the cost-of-living crisis
1483,0,🔴 Mourners carrying the coffin of Shireen Abu Akleh through East Jerusalem were stripped of Palestinian flags by Israeli security forces
1484,The Queen,"👑 The Queen was up and about on her feet and appeared in fantastic spirits today at the Royal Windsor Horse show, notching up a series of rosettes to her clear delight"
1485,Coleen Rooney,"🔴Wagatha Christie live: Coleen Rooney wanted to catch alleged leaker red-handed

Follow the latest from the trial on our liveblog 👇"
1486,Coleen Rooney,🗣️Coleen Rooney has said she thought Rebekah Vardy would  try to explain it away or pretend to be my friend  if she confronted her fellow footballers wife privately about alleged leaks
1487,Ukrainian fighters,"🎥 New footage from inside the besieged steelworks in Mariupol shows utter devastation as Ukrainian fighters launch grenades to force back a Russian attack, in the first direct evidence that Moscow is trying to storm the plant"
1488,Volodymyr Zelensky,"🔴 Volodymyr Zelensky believes that French leader Emmanuel Macron is trying  in vain  to have a constructive dialogue with Russian President Putin, according to an interview transcript released by Kyiv Friday.

Follow our liveblog for the latest updates 👇"
1489,Avoz Media,🎥 Avoz Media have shared footage which appears to show the Azov Regiment fighting Russian forces in the Azovstal steel plant in Mariupol
1490,Millions of homeowners,"🏠 Millions of homeowners face negative equity as interest rates rise and property prices collapse, leaving them unable to sell"
1491,0,📉 The value of one of the world’s biggest cryptocurrencies has been all but wiped out in the space of four days amid a market rout that has shaken confidence in the sector
1492,he,"📸 Pictured: the Russian soldier on trial for allegedly shooting an unarmed 62-year-old civilian as he rode his bicycle home.

Russia has denied targeting civilians or involvement in war crimes and accused Kyiv of staging them to smear its forces"
1493,0,"🔴 Violence has erupted at the funeral of Shireen Abu Akleh, an Al Jazeera journalist who was shot dead while reporting in the West Bank earlier this week"
1494,Coleen Rooney,"Coleen Rooney tried to resolve her libel battle with Rebekah Vardy on three occasions  in vain , she told the court in her written evidence.

She said:  I was of the view that the time, money, resources and efforts involved could be better spent elsewhere"
1495,Turkey,"🔴President Recep Tayyip Erdogan said Turkey did not have a  positive opinion  on Finland and Sweden joining Nato.

 We do not have a positive opinion. Scandinavian countries are like a guesthouse for terror organisations,  Erdogan said"
1496,0,"🎙️LIVE NOW🎙️

Tune into todays  Space with @DomNicholls, @venetiarainey, @djknowles22 and @FrancisDearnley, covering:

🔴 Russian forces wiped out on River Donets
🔴 The battle for Snake Island
🔴 Ukraines  entry

Listen here ⬇️"
1497,The Queen,"📽️ The Queen is to be seen  like never before  in charming scenes captured from her own private home videos, showing her happy life as a young woman"
1498,Ukraine,"🔴 Ukraine has accused Russia of forcibly deporting more than 210,000 children and wanting to make them Russian citizens.

Lyudmyla Denisova, human rights ombudswoman, said the children were among 1.2M Ukrainians who have been deported against their will"
1499,"Kalush Orchestra , the 2022 Eurovision Song Contest","🎵 For Oleh Psiuk and his group Kalush Orchestra, the 2022 Eurovision Song Contest has become much more than just a music competition"
1500,Drone maker Vernon Kerswell,"🔴 Drone maker Vernon Kerswell is routinely abused online by his investors. 

His crime? 

Failing to deliver his invention on time"
1501,any omission of an embargo on Russian oil in the EUs next sanctions package,"🔴Ukraine has warned that any omission of an embargo on Russian oil in the EUs next sanctions package would spell the end of the blocs unity, calling it a  critical moment"
1502,Rebekah Vardy,"💬 Rebekah Vardy has said that she felt  bullied and manipulated  during cross-examination by Coleen Rooney’s lawyer, as her own lawyer concluded his questioning.

Mrs Vardy has now finished giving evidence.

Read the latest on our liveblog 👇"
1503,he,"It was almost a sickness at that stage 

🎙️On this weeks @ChoppersPodcast, @christopherhope asks former Conservative MP Neil Parish why he looked at porn in the House of Commons 

Listen here ⬇️"
1504,A paratrooper in the US Army,"🔴A paratrooper in the US Army was mauled to death by a bear during military training in Alaska. 

Sgt Seth Michael Plant, 30, was attacked by what is believed to be a brown bear on Tuesday in a training area in Anchorage"
1505,souvenir,"🍾 A bottle of champagne signed by Boris Johnson was labelled a  souvenir of partygate  as it was sold off at a charity event in Hertfordshire.

Oliver Dowden donated the item  in good faith  several months before the auction"
1506,Liz Truss,"🔴Britain will target Vladimir Putins ex-wife and cousins in a fresh round of sanctions designed to crack down on the Russian leaders financial network, Liz Truss has announced

Follow the latest on our liveblog 👇"
1507,"all else , towards the leading ladies in the Wagatha Christie drama ,","✍️ I think that she would have felt compassion, above all else, towards the leading ladies in the  Wagatha Christie  drama,  writes Laura Thompson. 

Read the full story 👇"
1508,Christie,"It took hysterical possession of the newspapers, and led to questions in the House as to the cost of the police operation

For years Christie carried the visible taint of the story – indeed, she never quite recovered from her assault by the 1920s equivalent of a Twitter mob"
1509,she,"In December 1926 she  disappeared  for 11 days, almost certainly in a misjudged strategy for reclaiming the husband who wanted to leave her. 

When she was found alive and well in a hotel, after a nationwide search, her private mental anguish became the most public of scandals"
1510,Christie,"🗞️Agatha Christie’s understanding of the press derived, in part, from her first-hand experience of its excesses. 

Here, perhaps, is the strongest connection of all. 

Almost a century ago, Christie was in the eye of a tabloid storm as fierce as the one that now bears her name"
1511,Coleen Rooney ’s scheme,"📖Coleen Rooney’s scheme to identify, by a process of elimination, the author of the anonymous leaks is somewhat reminiscent of Christie’s 1943 novel, The Moving Finger.

The novel centres upon similar attempts to trace the source of a series of scurrilous anonymous letters"
1512,0,"📚As for the  plot  aspect of the Wagatha saga – this, too, would surely have appealed. 

There is even a vital missing clue, the phone belonging to Rebekah Vardy’s agent – also in the frame as a source of newspaper stories – which now lies somewhere in the North Sea"
1513,herself,"💷Christie herself grew up with little money, her amiable gentlemanly father having squandered most of it. 

She understood, always, the urgent need to acquire security – understood, too, that there are many ways of earning it"
1514,She,"She would certainly have  got  Coleen Rooney, the bright daughter of a Liverpool bricklayer who now lives in a £4 million mansion.

Her books feature feisty girls full of wit, such as the heroine of The Sittaford Mystery who stops at nothing to save her boyfriend from the gallows"
1515,she,"📱Of course Christie would have loathed the contemporary trappings of this case, especially the ugly idiocies of social media (she never even enjoyed television).

Yet she moved with the times far more than is generally realised"
1516,Christie,"🔎 Christie was a student of human nature, of motivation, and in essence that is what the Rooney-Vardy showdown is all about.

Two women, watched with who knows what feelings by their husbands, locking balayaged ponytails and refusing to back down"
1517,her,"🗨️ One of her last known remarks, before her death in January 1976, was:  I wonder what has happened to Lord Lucan?  

Like most of us, she was fascinated by these real-life stories – not least because her job required her to be"
1518,"However , that pervasive view of Christie","➡️However, that pervasive view of Christie does not quite square with the reality. 

The real Agatha Christie – although a product of the upper-middle class into which she was born in 1890 – was, in truth, a supremely unshockable cosmopolitan"
1519,The ongoing trial,"The ongoing trial represents, one would think, an improbable culture clash with the genteel figure of Agatha Christie, whose tea-at-the-vicarage social landscape is one in which chipolatas are merely party sausages, and leaks are found only in drains"
1520,The Wagatha epithet,"🔎The  Wagatha  epithet was conjured on Twitter (where else?)

It was created in tribute to the deductive powers of Mrs Rooney, who – by deliberate deployment of fake stories on her Instagram  – alighted upon Mrs Vardy, who denies the accusation, as the source of tabloid leaks"
1521,The Wagatha Christie portmanteau,"🕵️‍♀️The  Wagatha Christie  portmanteau is a headline, a hashtag, a phrase with a crazed life of its own. 

❓But what would Dame Agatha Christie have thought of the court battle between Rebekah Vardy and Coleen Rooney?

🧵👇"
1522,Holly Lawford - Smith ’s work on gender,"🔴When Holly Lawford-Smith’s work on gender incurred the wrath of activists, it put the New Zealand academic in the eye of a publishing storm"
1523,The court battle between Rebekah Vardy and Coleen Rooney,"📚 The court battle between Rebekah Vardy and Coleen Rooney would have riveted Agatha Christie – she was no stranger to a tabloid storm

Heres why👇"
1524,our,"✍️  Brexit, the pandemic and Ukraine didnt dent the housing market – but our latest crisis might.  | Writes Isabelle Fraser"
1525,0,✍️  A constellation of liberal democracies open to trade is an idea full of seductive possibilities for the UK.  | Writes Ambrose Evans-Pritchard
1526,The court battle between Rebekah Vardy and Coleen Rooney,🔎 The court battle between Rebekah Vardy and Coleen Rooney would have riveted the great crime writer – she was no stranger to a tabloid storm
1527,Swedish membership in Nato,"🔴Swedish membership in Nato would have a stabilising effect and would benefit countries around the Baltic sea, Foreign Minister Ann Linde has said, the day after neighbour Finland committed to applying to join the alliance"
1528,his planned $ 44bn takeover of Twitter,🔴 Elon Musk has said his planned $44bn takeover of Twitter is on hold amid concerns about the number of fake or spam accounts on the site
1529,Rebekah Vardy,"🗣 Rebekah Vardy has said that derogatory comments she made about Peter Andre were  shameful  and among her  biggest regrets .

Follow our liveblog for the latest updates 👇"
1530,North Korea,"🔴 North Korea has confirmed its first Covid-19 death.

The country reported that a fever of unknown origin had been spreading  explosively  across the reclusive nation since late April, infecting about 350,000 people"
1531,Ukraine,"🔴 Germanys agriculture minister has said grain theft by Russia in Ukraine was  repugnant .

 This is an especially repugnant form of war that Russia is leading, in that it is stealing, taking for itself grain from eastern Ukraine,  said Cem Oezdemir"
1532,Rebekah Vardy,"🔴 NEW: Rebekah Vardy is returning to the witness box for the fourth day of the much-anticipated  Wagatha Christie  libel trial

Follow live updates here 👇"
1533,0,🔴 Water companies and broadband providers will be slapped with hundreds of thousands of pounds in penalties for botched works that leave potholes or poor quality roads under a crackdown by Grant Shapps
1534,0,🔴A Ukrainian court is expected to begin hearing the first war crimes case arising from Russias Feb. 24 invasion after charging a captured Russian soldier with the murder of a 62-year-old civilian
1535,0,🔴 British soldiers join Nato war games in show of strength to Vladimir Putin
1536,Deborah James,🔴 Deborah James has been honoured with a damehood after she inspired the nation and raised more than £3m for cancer charities in less than a week
1537,Vernon Kerswell,Drone maker Vernon Kerswell is routinely abused online by his investors. His crime? Failing to deliver his invention on time
1538,Boris Johnson,"🗣️ Boris Johnson must show the same leadership over Northern Ireland as he has on Ukraine by ripping up the Northern Ireland Protocol, Lord Frost has said"
1539,EU foreign policy chief Josep Borrell,"🇪🇺EU foreign policy chief Josep Borrell has said the bloc would provide another €500m worth of military support to Ukraine.

He said a deal could be reached in the coming days to agree an embargo on Russian oil

Read the latest updates on our liveblog👇"
1540,0,⚡ A bridge too far for Russian invaders as whole battalion destroyed in failed river crossing mission
1541,he,"✍️  Boris career has been based on rejecting the idea of a choice. In situations where most lesser mortals would have one, he has two (jobs, women, policy positions).  | Writes Fraser Nelson"
1542,Finnish ministers,"🔴Finnish ministers are planning for industrial shutdowns and food shortages, as they said energy supplies could be halted as early as Friday."
1543,0,"🎧 Listen to this mornings Two-Minute Briefing from @dannyboyle87:

❌ The civil services collision course with ministers
🇪🇺 Liz Trusss EU diplomacy talks today
🍰 The recipe for the nations Platinum Pudding

Subscribe 👇"
1544,Ukraine,"🔴France has said the G7 was committed to helping Ukraine win its war against Russia

French Foreign Minister Jean-Yves Le Drian said G7 countries were  very strongly united  in their will to  continue in the long term to support Ukraines fight"
1545,The Chief Rabbi,"The Chief Rabbi has urged congregants to return to synagogue, claiming that Zoom prayers cannot compete with the  spiritual growth  that in-person services offer"
1546,0,"🔴At least two civilians died Thursday as a result of a shelling attack on the outskirts of Kharkiv, Ukraines second-largest city, local authorities have said"
1547,Deborah James,"Thursday morning UK news briefing from @DannyBoyle87 

❌ Mass cull of Whitehall jobs

🗣️ Lord Frost: PM must brave it out over Protocol

⭐ Deborah James made a dame"
1548,Amaretti trifle inspired by the Queen ’s own wedding menu,"🍰 A lemon Swiss roll and Amaretti trifle inspired by the Queen’s own wedding menu has been named as the official  Platinum Pudding .

The pudding beat 5,000 rivals in the competition to find the  new Coronation chicken"
1549,five soldiers,"🔴 Russian soldiers have been caught on CCTV shooting two unarmed Ukrainian civilians dead.

In the security camera footage,  five soldiers drive up to a large bicycle shop on a motorway leading to Kyiv near the start of the invasion"
1550,the forthcoming Tiverton and Honiton,🔵 Shamed former Conservative MP Neil Parish is threatening to stand against the Tories as an independent candidate in the forthcoming Tiverton and Honiton by-election to save his political career
1551,Ukraine,"🔴 Ukraine said it had damaged a Russian navy logistics ship near Snake Island, a small but strategic outpost in the Black Sea.

Read the latest Ukraine updates on our liveblog 👇"
1552,Rishi Sunak,"🔴 Rishi Sunak will put Britains energy security at risk if he imposes a windfall tax on oil companies, the head of BP has warned as the country battles soaring fuel prices"
1553,the Eurovision Song Contest,"From tone-deaf grannies to uncomfortably sexual siblings, behold the most cringe-worthy acts the Eurovision Song Contest has ever seen"
1554,Nato,✍️  Nato remains the world’s most successful military alliance. It has kept us safe in western Europe for over 70 years. It is just about to become even stronger.  | Writes Michael Fallon
1555,swollen Whitehall departments,"❌ The Prime Minister said the savings made from cutting  swollen  Whitehall departments would be ploughed back into helping people with the cost of living crisis, hinting it may be used to fund future tax cuts"
1556,they,New research says we need to get the right over-the-counter pills for pain – or they could make things worse
1557,Apple TV ’s adaptation of Sarah Perry ’s bestselling novel,Apple TV’s adaptation of Sarah Perry’s bestselling novel is unconvincing and a little too modern
1558,The Tories,Telegraph View: The Tories used to understand the need for a liberated energy market. Now they are mired in ideological confusion
1559,Mr Parish,Mr Parish tells Chopper’s Politics podcast he could run as an independent in a move that would risk handing advantage to Lib Dems
1560,0,🔴Finnish MPs also fear a deluge of asylum seekers being sent across its border with Russia as country prepares to drop decades of neutrality
1561,The first Russian soldier,"The first Russian soldier is on Friday due to go on trial for war crimes in Ukraine

Follow the latest news in our live blog 👇"
1562,James,"✍️ I’m surely not the only one looking at the magnificent Deborah James as she prepares to die and experiencing a raft of emotions, some of which are hard to pinpoint much less describe  | Writes @JudithWoods"
1563,the government - owned National Highways,But the government-owned National Highways insists that smart motorways are  our safest roads  overall for serious or fatal casualties
1564,ministers,"🔴A disastrous deal to build two new ferries was pushed through by SNP ministers despite officials warning them that it could be ruled unlawful, it has emerged"
1565,0,⚡️ Tonga volcano: Surveillance images show catastrophic devastation
1566,0,🍾 Vintage rosé champagne has lost its frilly image
1567,Marine Le Pen,🇫🇷 Its déjà vu in France as Emmanuel Macron and Marine Le Pen lead in the polls ahead of the first round on April 10
1568,Le Pen,"Le Pen has been turning her party into a statist, anti-globalist, defender of the Modèle Français ever since taking charge in 2011  | Writes Ambrose Evans-Pritchard"
1569,The Duke and Duchess of Cambridge,"👑 The Duke and Duchess of Cambridge have urged Britain to  lift someone out of loneliness  by knocking on their front door or offering a cup of tea, in a campaign to end social isolation"
1570,The Duke of Cambridge,The Duke of Cambridge came over for tea and champagne as he honoured the podcaster for raising more than £5m for Cancer Research
1571,war,"🗣️  There is a war on the West. It is being fought by Western revolutionaries aimed at destroying our civilisation and our past.  

To discuss his book, The War on The West, Douglas Murray joins Steven Edginton in the latest Off Script podcast"
1572,The Queen,"🔴 The Queen has arrived at the Royal Windsor Horse Show.

This the first time she has been seen in public since the Duke of Edinburgh’s memorial service in March"
1573,Russia ’s progress in the Donbas,"❌ Russia’s progress in the Donbas has, like its previous assault on Kyiv, stalled badly. Its inability to cross rivers will play its own part.

Below, a railway bridge across the Donets lies in ruins after an earlier phase of fighting in late April"
1574,the combat,"🗣️ Russian forces had succeeded in putting in place the pontoon and troops and vehicles had begun moving across it. At that point, said Maxim,  the combat started. 

Read the full article for more on Russias catastrophic failure ⬇️"
1575,soldier,"🗣️ On social media, a Ukrainian soldier named Maxim claimed he had  outplayed  Russia’s military engineer.

Russian engineers had  attempted to place a bridge RIGHT in the place where I guessed , wrote Maxim"
1576,0,"🇺🇦 The Siverskyi Donets (Donets for short) flows for 650 miles through the Donbas, the region in eastern Ukraine to which fighting has switched after Putin gave up on his plan to grab Kyiv and unseat Volodymyr Zelensky"
1577,Russian troops that succeeded in crossing the river,"🔴 The drone footage shows the outcome of the Ukrainian assault.

At least two temporary bridges sunk, while Russian troops that succeeded in crossing the river were then left stranded and open to massacre"
1578,the battalion,"🎥 Drone footage shows the aftermath.

❌ Russian army vehicles, including as many as three dozen tanks, were blown to smithereens as the battalion gathered to make the crossing"
1579,the Russians,"🔴 In a coordinated counter-attack, a Ukrainian river boat squad was able to identify when the Russians began building the pontoon.

Visibility was virtually nil, because Russian troops had thrown smoke grenades and set nearby trees on fire"
1580,"the river , its banks and the surrounding forests","🔴 A whole Russian batallion has been destroyed in a failed river crossing mission.

Reports, albeit unverified, suggest the river, its banks and the surrounding forests are now the graveyard for up to 1,000 Russian troops.

Thread ⬇️"
1581,0,"🔴 Military experts agree that crossing any river in the middle of a conflict is not easy.

But the Russian army’s attempt to build a pontoon over the Siverskyi Donets river ended with a significant portion of a battalion wiped out in the process"
1582,the failed crossing of the Donets,"If the reports are correct, the failed crossing of the Donets would represent the single biggest loss of life suffered by Putin’s forces since the war began 78 days ago"
1583,The Kremlin,"🔴 The Kremlin warned it may take retaliatory  military-technical  steps after Finlands leaders said they favour joining Nato, and Sweden could do the same within days.

 You (Russia) caused this. Look in the mirror,  said Finnish President Sauli Niinisto"
1584,foreign secretary Liz Truss,"🔴 Vladimir Putin is  humiliating himself  in front of the entire world, foreign secretary Liz Truss has said.

Ms Truss also called for further military support for Ukraine

Keep up with the latest updates in our liveblog here ⬇️"
1585,0,A veterans’ trust has appealed for mourners to attend the funeral of a D-Day veteran who once revealed on television his years of loneliness after losing his wife
1586,0,"🌟 Ukraines Kalush Orchestra has won the 2022 Eurovision Song Contest!

Follow the latest details in our live blog"
1587,Ukraine,"Ukraine grab the lead with a HUGE 439 points! 

That is absolutely enormous - and surely crowns them the winners tonight.

Follow our Eurovision liveblog here"
1588,the Waves,"The UK now has more points than Katrina and the Waves got a quarter of a century ago. There’s a different voting system now. But that’s a significant milestone to pass. 

Follow our Eurovision liveblog 👇"
1589,The UK,"The UK is currently in the lead with 178 points for Sam Ryder!
Were now halfway through the jury votes. It could all change yet, but that is pretty astonishing.

Follow our Eurovision liveblog"
1590,A Whitehall body,🔴 A Whitehall body that announced a review of the accuracy of official documents on Priti Patels Rwanda policy could be overhauled or even scrapped as part of a bid to reduce the number of quangos
1591,0,"✍️  Lessons have still not been learned, so why should we trust the WHO in a future pandemic?  | Writes Matt Ridley"
1592,the UK,🔴The Business Secretary is to fly to the US this week to drum up American investment in new nuclear plants amid concerns that the UK is too reliant on China for help building reactors in Britain
1593,the Bank,"🔴 Cabinet ministers have turned on the Bank of England over rising inflation, with one warning that the Bank had been failing to  get things right  and another suggesting that it had failed a  big test"
1594,Sam Ryder,"🌟 Sam Ryder does the UK proud.

 Shine brightly, my friends!  roars the long-haired TikTok star at the end of his performance of Space Man

Follow our Eurovision liveblog 👇"
1595,Trump,"🇺🇸 The Pennsylvania primary will be the first major test for the Trump agenda as his reality TV doctor pick, Dr Mehmet Oz, faces Republican candidate Kathy Barnette"
1596,The front page of tomorrows Sunday Telegraph : Ministers,"🗞️ The front page of tomorrows Sunday Telegraph:

Ministers turn on Bank of England



Sign up for the Front Page newsletter"
1597,The rich and famous,🛁 The rich and famous are installing luxury cryotherapy chambers and infrared saunas into their homes after the pandemic gave them a  wake-up call  to start taking better care of their health
1598,0,"✍️  Regulation can quickly become censorship, and as some critics have noted, one woman’s misinformation is another’s information.  | Writes Zoe Strimpel"
1599,Kwasi Kwartengs review of fracking,"🔴 Kwasi Kwartengs review of fracking will undermine public trust if it ignores evidence that the risks associated with shale gas production can be  managed and mitigated , more than 35 Conservative MPs and peers have warned"
1600,🎶 Azerbaijans Nadir Rustamli,"🎶Azerbaijans Nadir Rustamli brings more gloom with Fade To Black

Music critc Neil McCormick writes:  Were deep into dark ballad territory. Azerbaijan obviously didnt get the memo"
1601,Bitcoin,✍️  The idea that Bitcoin could one day topple the dollar seems ever more absurd.  | Writes Ben Marlow
1602,Kalush Orchestra,"📺 Ukraines entry, Kalush Orchestra, take the Eurovision stage with a blend of traditional folk music, hip-hop, and rap.

At the end, lead singer Oleh Psiuk shouts  Help Mariupol, Help Azovstal, right now! 

Follow the latest on our Eurovision liveblog 👇"
1603,"Richard Caring , the billionaire proprietor of celebrity haunts Annabel ’s , Sexy Fish and Scott ’s ,","Richard Caring, the billionaire proprietor of celebrity haunts Annabel’s, Sexy Fish and Scott’s, is embroiled in a bitter planning row over the renovation of his 19th century Kensington home"
1604,Apple,"🎵  This week, Apple announced it has ceased manufacturing the last surviving model of its once-ubiquitous music player.

Yet, for a moment there, the iPod was the future; this elegant little gadget changed the way we listened to music"
1605,"The identities of Norways entry , Subwoolfer ’s , Keith and Jim","🎶The identities of Norways entry, Subwoolfer’s,  Keith  and  Jim  are unknown.

Rumour has it that one of them is Britain’s Ben Adams, formerly of 90s boyband A1.

Music critic Neil McCormick writes:  At last it feels like the real Eurovision has begun"
1606,0,🔴 An archdiocese is claiming it was  unacceptable  for one of its schools to offer an invite to a gay author whose book contains a graphic parody of the Lord’s Prayer
