,who,text
709,Nasa 's Moon - ship,Nasa's Moon-ship is attached to SLS megarocket
710,US surgeons,US surgeons test pig kidney transplant in a human
711,Facebook,Facebook fined £50m by UK competition watchdog
712,Russia 's Vladimir Putin,Russia's Vladimir Putin will not attend COP26 climate summit
713,0,Fossil fuel production set to soar over next decade
714,urge NHS chiefs,"Bring back Covid rules amid rising UK cases, urge NHS chiefs"
715,Sudan,Sudan on the brink amid scramble for democracy
716,Blinken,Blinken seeks to shore up democracy in South America trip
717,Facebook,Facebook settles US worker discrimination claims
718,FBI,FBI searches US homes linked to Russian oligarch
719,The Baghdad traffic cop,The Baghdad traffic cop who works in 50C heat
720,Google 's Pixel 6 processor,Google's Pixel 6 processor brings AI photo features
721,the worldwide vaccination effort with our interactive tool,Track the worldwide vaccination effort with our interactive tool
722,Kanye West,Kanye West officially changes his name to Ye
723,0,How has coronavirus spread throughout the world?
724,North Korea,"North Korea fires submarine-launched ballistic missile into waters off Japan's coast, South Korea says"
725,0,Flying Doctors take vaccines to Australia's outback
726,Narendra Modi : ' Why is the Indian PM 's photo on my Covid vaccine certificate,Narendra Modi: 'Why is the Indian PM's photo on my Covid vaccine certificate?'
727,0,Diver finds 900-year-old crusader sword off Israel's coast
728,Colin Powell 's,The key moments of Colin Powell's life
729,North Korea,North Korea fires projectile into waters off Japan
730,Greta Thunberg,Greta Thunberg sings Rick Astley hit at climate concert
731,vet to secretary of state Looking back on the life of Colin Powell,"From Vietnam vet to secretary of state 

Looking back on the life of Colin Powell"
732,Greta Thunberg,Greta Thunberg sings Rick Astley at climate concert
733,Hungary 's,Could this man oust Hungary's PM Viktor Orban?
734,Nebra Sky Disc,Nebra Sky Disc: British Museum to display world's 'oldest map of stars'
735,Irish poet and author Brendan Kennelly,Irish poet and author Brendan Kennelly dies
736,China 's growth slowdown,China's growth slowdown suggests recovery is losing steam
737,Afghan girls,Afghan girls are ‘left in darkness’ by the Taliban
738,"10,000 in EU","Facebook to hire 10,000 in EU to work on metaverse"
739,She,Iran's Covid orphans: 'She keeps asking where daddy is'
740,India 's,The nightmare of India's tallest rubbish mountain
741,French Ambassador,Belarus: French Ambassador leaves Minsk after Lukashenko regime order
742,0,Bill Clinton: Former US president released from hospital
743,Thousands of children left without parents in Iran,Covid: Thousands of children left without parents in Iran
744,Opponents of Sudan 's transition to democracy,Opponents of Sudan's transition to democracy take to streets of Khartoum
745,Opponents of Sudan 's transition to democracy,Opponents of Sudan's transition to democracy take to streets
746,a massacre of Algerians in Paris,How a massacre of Algerians in Paris was covered up
747,US missionaries,Haiti: US missionaries reportedly kidnapped in Port-au-Prince
748,Venezuelan President Maduro 's close aide,Venezuelan President Maduro's close aide extradited to US
749,drugs raid on cannabis farm in southern Italy,Police carrying out drugs raid on cannabis farm in southern Italy seize stash of 235 frozen dormice - said to be a mafia delicacy
750,Sahara 's,Life at 50C: Fleeing Sahara's shifting sands
751,0,Political world pays tribute to much-loved UK MP Sir David Amess
752,Nasa 's Lucy mission,Nasa's Lucy mission will seek out Solar System 'fossils'
753,Bronze cockerel kept at Cambridge University,Bronze cockerel kept at Cambridge University will be handed back to Nigeria
754,The man who put Irish music on the map,Paddy Moloney: The man who put Irish music on the map
755,Norway probes,Norway probes bow and arrow suspect’s sanity
756,0,Produce Pandas: The plus-size musicians making waves in China
757,Stranded 600 lb turtle,Stranded 600lb turtle returned to Atlantic Ocean
758,Prince William,Prince William suggests entrepreneurs should focus on saving Earth rather than space tourism
759,0,China's factory gate prices - a measure of what manufacturers charge wholesalers for products - grew at fastest rate on record last month
760,The band that made an art of being obscure,The Velvet Underground: The band that made an art of being obscure
761,Trump 's power over Republicans,Is Trump's power over Republicans starting to slip?
762,My mum,Covid-19 in Brazil: 'My mum was used as a guinea pig'
763,Everybody in the world,William Shatner in space: 'Everybody in the world needs to do this'
764,Mexico City,Mexico City to swap Columbus statue for one of indigenous woman
765,0,"Dutch crown princess could marry woman and be queen, says prime minister Mark Rutte"
766,Havana syndrome,Havana syndrome reported at US embassy in Colombia
767,US to re-open Mexico and Canada borders for fully,US to re-open Mexico and Canada borders for fully vaccinated travellers
768,US to re-open Mexico Canada borders for fully,US to re-open Mexico Canada borders for fully vaccinated travellers
769,Northern Ireland Protocol,Northern Ireland Protocol: What to expect from EU-UK talks
770,Texas Governor Greg Abbott,Texas Governor Greg Abbott bans all vaccine mandates in state
771,Nicki Minaj,Nicki Minaj defends Jesy Nelson in 'blackfishing' row
772,0,"Dutch crown princess could marry woman and be queen, according to caretaker prime minister"
773,Some Covid measures,Some Covid measures in Jersey schools to end
774,James Webb super-telescope,James Webb super-telescope arrives at launch site
775,Al Capone memorabilia,Al Capone memorabilia sell for $3m at auction
776,five - year,Manx homeowners face five-year wait for flood insurance
777,0,Czech police find eight-year-old German girl after border search
778,Prince Charles,Prince Charles urges Australia PM Scott Morrison to attend the COP26 climate conference in Glasgow
779,Guernsey Dairy,Guernsey Dairy calls for bids for unused milk products
780,the internet,Why does the internet keep breaking?
781,0,Irish unity referendum 'would not be needed in Republic of Ireland'
782,0,Call Her Daddy's Alex Cooper: 'Not everyone can just do a podcast'
783,Brandon ',How 'Let's go Brandon' became an anti-Biden conservative heckle
784,John Lennon,Paul McCartney says John Lennon instigated the Beatles' break-up
785,Facebook whistleblower,Facebook whistleblower to appear before UK Parliament
786,Thailand,Thailand to re-open for some vaccinated visitors on 1 November
787,California,Stealthing: California bans non-consensual condom removal
788,Pope Francis,Pope Francis launches mass consultation on Church reform
789,0,The 25-year-old who's been a clown for two decades
790,Iraq,Iraq claims capture of IS financial chief in operation abroad
791,Nigeria 's Kwara state,Nigeria's Kwara state suspends school head over flogging video
792,0,"ICYMI: Pooches, puppets and paintings"
793,UK,UK to resettle teenage Afghan women footballers and families
794,Power,Power returns to Lebanon after 24-hour blackout
795,these US workers,Covid vaccine: Why these US workers won't get jabbed
796,Balmain designer,Olivier Rousteing: Balmain designer reveals fireplace explosion injuries
797,James Bond actor Daniel Craig,James Bond actor Daniel Craig gives £10k to 'Three Dads Walking'
798,Mars scientists,Mars scientists now know where to look for life
799,China 's Xi vows ' reunification ',China's Xi vows 'reunification' with Taiwan
800,0,On patrol with a real-life Robocop
801,Havana syndrome,Havana syndrome: Berlin police investigate cases at US embassy
802,Somali women,How Somali women are breaking tradition to write novels
803,Tesla headquarters,Elon Musk says Tesla headquarters will move to Texas
804,University of Hong Kong orders removal of statue,University of Hong Kong orders removal of statue commemorating Tiananmen Square massacre
805,Pope Francis,Pope Francis will not travel to Glasgow for COP26 climate summit
806,Africa 's week in pictures,Africa's week in pictures: 1-7 October 2021
807,0,Duolingo boss plans to take on TikTok with maths
808,China 's steel addiction,Climate change: Tracking China's steel addiction in one city
809,Quiz of the week : How 's your Korean,Quiz of the week: How's your Korean?
810,company headquarters,Tesla: Elon Musk says company headquarters will move to Texas
811,China 's Moon mission,China's Moon mission returned youngest ever lavas
812,China 's Moon mission,China's Moon mission returned youngest ever lava
813,China 's steel addiction,Tracking China's steel addiction in one city
814,0,100-year-old former Nazi concentration camp guard appears in German court
815,0,Islamic State mother Nicole Jack says 'don't sweep us under carpet'
816,Nazi trial,Nazi trial: 100-year-old SS guard in court in Germany
817,France,France to send ambassador back to Australia amid Aukus row
818,0,Search for cause in California beach oil spill
819,Germany and Denmark,Germany and Denmark repatriate 37 children and 11 'IS women' from Syria
820,Kylie,Kylie confirms she is moving back to Australia
821,0,"Coughs, fevers and Covid toe

What you need to know about Covid symptoms 👇"
822,Tina Turner,Tina Turner sells rights to her music catalogue for reported $50m
823,R. Kelly 's YouTube channels,R. Kelly's YouTube channels removed after singer's sex trafficking conviction
824,0,What is the 'One China' policy?
825,480 Otis,480 Otis crowned chunkiest boy in Alaska for Fat Bear Week
826,Kylie Minogue,Kylie Minogue confirms she is moving back to Australia
827,0,Corporation tax: Ireland moving towards reform deal
828,0,Study reveals why some people get Covid toe condition
829,sanctuary with French envoy,Evacuated Afghan girl's pet bird finds sanctuary with French envoy
830,Ireland 's Central Bank,Ireland's Central Bank expects country's domestic economy to recover by end of 2021
831,0,Climate change: Global south voices 'not heard' in research
832,Kashmir 's,Hear my voice: Kashmir's resistance music
833,0,Café gives workers with learning disabilities a shot
834,' Chief dragon ','Chief dragon' is UK's oldest meat-eating dinosaur
835,0,Slovenia summit: Balkan leaders look to EU to open up club
836,you,Should you date someone based on their music taste? 🎶
837,Ireland ',Republic of Ireland 'close to suppressing' Covid
838,Windows,Windows 11 launches with redesigned start menu
839,"Son of Philippines ' former dictator , Ferdinand Marcos ,","Son of Philippines' former dictator, Ferdinand Marcos, announces he will run for president in next year's election"
840,0,Six hours of life without WhatsApp
841,0,"What happened to Facebook, WhatsApp, and Instagram?"
842,"James Oliver , who led the investigation for @BBCPanorama , and International Consortium of Investigative Journalists managing editor Fergus Shiel","Have you got questions about the Pandora Papers?

James Oliver, who led the investigation for @BBCPanorama, and International Consortium of Investigative Journalists managing editor Fergus Shiel will answer"
843,Media,Scandal-hit Ozy Media says it has re-launched
844,you,Should you date someone based on their music taste?
845,India,Aryan Khan and Ashish Mishra: India gripped by tale of two sons
846,"Facebook , WhatsApp and Instagram","Facebook, WhatsApp and Instagram appear to be recovering after an outage that lasted almost six hours"
847,0,"Users flock to Twitter after outage on Facebook, WhatsApp and Instagram"
848,Khan,Pakistan's PM Imran Khan says his government will investigate citizens names in the Pandora Papers
849,the Pandora Papers,What do the Pandora Papers tell us?
850,0,Irish government sets out biggest ever investment plan
851,Retired senior garda,"Retired senior garda faces €13,000 cannabis charge at Dublin court"
852,Biodiverse stretch of coastline on Isle of Man,Biodiverse stretch of coastline on Isle of Man given protection by the government
853,0,Isle of Man vaccine booster programme rollout begins
854,California oil spill sparks concern for wildlife,Huntington Beach: California oil spill sparks concern for wildlife
855,Facebook whistleblower,Facebook whistleblower reveals identity
856,0,Living on a ship next to 174 North Sea wind turbines
857,North and South Korea,North and South Korea have phone call after months
858,0,The American father and son building a Gothic folly in France
859,Emily Ratajkowski,Emily Ratajkowski alleges Robin Thicke groped her on Blurred Lines set
860,a centuries - old craft,Bringing a centuries-old craft back to life in County Tyrone
861,"Eithne Coyle , the woman who spied for the IRA","NI 100: Eithne Coyle, the woman who spied for the IRA"
862,La Palma residents,La Palma residents count the cost of volcanic eruption
863,0,Rodrigo Duterte: Philippine president announces retirement from politics
864,Mali 's plan for Russia mercenaries to replace French troops,Mali's plan for Russia mercenaries to replace French troops unsettles Sahel
865,0,Covid-19: Irish vaccine passports 'accelerated' jab uptake
866,0,Fashion mogul Peter Nygard to be extradited to US
867,Japan 's princess to finally wed commoner boyfriend,Japan's princess to finally wed commoner boyfriend
868,Guinea coup leader,Guinea coup leader sworn in as president
869,0,Covid booster jab programme starts in Republic of Ireland
870,Facebook,Facebook grilled over mental-health impact on kids
871,Quiz of the week,Quiz of the week: Why was Glastonbury in the news?
872,Facebook chief,Facebook chief explains 'Finsta' to US senator
873,Australia,Australia to reopen border from November
874,the ex-cricketer batting up a political storm,"Navjot Singh Sidhu, the ex-cricketer batting up a political storm"
875,Africa 's week in pictures,Africa's week in pictures: 24-30 September 2021
876,0,The impact of the strictest anti-abortion law in the US
877,Meeting,Meeting held over planned Croke Park Garth Brooks gigs
878,James Bond and MI6,James Bond and MI6: Is there fact in fiction?
879,Isle of Man 's maritime history,Isle of Man's maritime history explored in UK heritage project
880,0,"System to manipulate the outcome of boxing matches by officials was in place at Rio 2016 Olympics, independent investigation finds"
881,0,AI can predict if it will rain in two hours' time
882,Krystsina Tsimanouskaya,"Belarus coaches, who tried to send Krystsina Tsimanouskaya home, to be investigated by International Olympic Committee"
883,Britney Spears,Britney Spears on cloud nine after conservatorship ruling
884,0,Climate ministers hold final talks in Milan before key UN conference in Glasgow
885,Waterspout,"Waterspout hits German port city of Kiel, throwing people from boats"
886,Beijing 's crackdowns,How Beijing's crackdowns are impacting business
887,0,Non-vaccinated athletes must serve 21-day quarantine before competing in Beijing Olympics
888,Canada indigenous children 's compensation order,Canada indigenous children's compensation order upheld
889,Women in Latin America,Women in Latin America march for abortion rights
890,Guernsey,Guernsey yet to issue fishing licences for French vessels
891,the pop star bringing Somalia to the Mississippi,Aar Maanta - the pop star bringing Somalia to the Mississippi
892,Jersey,Jersey refuses licences to 75 French fishing boats
893,Manny Pacquiao,Manny Pacquiao retires from boxing to focus on political career
894,sexism row in Italy,Scantily-clad statue sparks sexism row in Italy
895,0,China: Big spender or loan shark?
896,World Heritage rainforest,Daintree: World Heritage rainforest handed back to Aboriginal owners
897,Statue of scantily - clad woman,Statue of scantily-clad woman sparks sexism row
898,0,"Human rights activist, Patrick Zaki, goes on trial in Egypt over article"
899,0,Three Polish regions scrap anti-LGBT resolutions
900,Recording of unreleased John Lennon,Recording of unreleased John Lennon song up for auction in Denmark
901,German coalition talks,German coalition talks begin after close election
902,Ford,Ford announces $11.4bn investment in electric vehicle plants
903,China,China lets US siblings return home after three years
904,Recording of unreleased song up for auction in Denmark,John Lennon: Recording of unreleased song up for auction in Denmark
905,US President Joe Biden,US President Joe Biden receives Pfizer Covid booster jab
906,0,Germany election: Coalition talks begin after close election
907,Instagram for kids,Instagram for kids paused after backlash
908,0,"Cameras capture footage of car careering across eight lanes of traffic in Darwin, Australia

The driver, and a child who was in the car with her, were taken to hospital with non-life-threatening injuries"
909,0,Why are Britons panic-buying petrol?
910,0,"From the generational divide to whether there's enough seats

Here are seven things we learned from the German election ⬇️"
911,Taliban,"“Still now I am terrified”

Afghan news anchor Beheshta Arghand made history when she interviewed the Taliban just days after they took over her country"
912,San Marino votes to,San Marino votes to legalise abortion in referendum
913,0,Power outages hit homes in northeast China
914,The [ # ] MeToo icon China,The [#]MeToo icon China is trying to silence
915,Merkel,"Germany says auf wiedersehen to Angela Merkel, after her 16 years as chancellor comes to an end"
916,0,Two-thirds of voters back same-sex marriage in Switzerland referendum
917,The Landsat - 9 spacecraft,"The Landsat-9 spacecraft will continue an unbroken, near-50-year observation of our changing world"
918,China,Xianzi: The  icon China is trying to silence
919,Sudan,Sudan says it has repelled Ethiopian troops
920,0,Swiss voters set to back same-sex marriage
921,0,German elections: Voters decide who will take charge after Merkel
922,Voters in Switzerland,Voters in Switzerland go to the polls on Sunday to decide whether to say I do to same-sex marriages
923,0,Close race as voters prepare to go to the polls in Germany's elections
924,Canadians Michael Spavor and Michael Kovrig,Canadians Michael Spavor and Michael Kovrig released from Chinese captivity
925,0,Music company buys NFT of 'Side-eyeing Chloe' meme
926,Germany ’s Election,Ros Atkins On… Germany’s Election Explained
927,Switzerland,Switzerland to hold referendum on same-sex marriage
928,La Palma volcano,La Palma volcano: Visual guide to what happened
929,0,The PowerPoint that sparked an international row
930,A look at the key moments from the R. Kelly trial as jury,A look at the key moments from the R. Kelly trial as jury deliberates
931,0,"Executions will return in Afghanistan, says senior Taliban official"
932,Vienna boss,CIA 'removes Vienna boss' over Havana syndrome outbreak
933,India salon,"India salon fined $271,000 for 'botching' model's haircut"
934,0,Covid vaccine booster programme to start in Republic of Ireland
935,Singapore migrant workers,Singapore migrant workers are still living in Covid lockdown
936,0,Haitian migrants at US border: 'We've been through 11 countries'
937,The China factor,The China factor in India's Quad strategy
938,R Kelly lawyer,R Kelly lawyer compares him to Martin Luther King
939,0,Earliest definitive evidence of people in Americas
940,0,Thousands remain at Haitian migrant camp in Texas
941,0,Multiple people shot in Tennessee grocery store
942,Quiz of the week,Quiz of the week: Who said what at the Emmys?
943,0,US doctor urges vaccine priority for children
944,0,"AI cannot be the inventor of a patent, appeals court rules"
945,Evangelista,Supermodel Linda Evangelista says she's been left permanently deformed by cosmetic procedure
946,Taiwan,Taiwan seeks entry into key trade pact before China
947,0,"Time for humanity to grow up on climate change, UK PM Boris Johnson says"
948,China 's Xi Jinping,Why China's Xi Jinping looks to be pursuing a road back to socialism
949,France and US,Aukus pact: France and US seek to mend rift
950,Elizabeth Holmes ' trial,Elizabeth Holmes' trial: Theranos patient testifies about miscarriage diagnosis
951,Fact - checking claims by the Brazilian leader at UN,Bolsonaro: Fact-checking claims by the Brazilian leader at UN
952,I,I'm a Celebrity crew member's Covid case sends thousands of Australians into lockdown
953,I,"I've never heard an earthquake in here before

TV presenters caught on camera reacting to one of Australia's largest earthquakes in recent years"
954,One migrant ’s year - long attempt to cross the Channel,A year in Calais: One migrant’s year-long attempt to cross the Channel
955,0,Why companies don't post salaries in job adverts
956,Lithuania,Lithuania urges people to throw away Chinese phones
957,The moment Australian earthquake,The moment Australian earthquake shakes TV studio
958,Earthquake,Earthquake shakes Melbourne and southeast Australia
959,German elections 2021,German elections 2021: 'Bazooka man' Olaf Scholz bidding for chancellor
960,0,"You can hear the volcano rumbling in the background 

BBC reporter on the evacuation of La Palma residents"
961,Australia 's big gamble on the US over China,Aukus: Australia's big gamble on the US over China
962,India,India to resume Covid vaccine exports from October
963,One migrant ’s year - long attempt to cross the Channel,One migrant’s year-long attempt to cross the Channel
964,0,Meet the teacher who turned a village street in India into a classroom
965,Wally the wandering walrus,Wally the wandering walrus is spotted in Iceland
966,Nasa,Nasa selects landing site for Moon rover mission
967,0,Justin Trudeau: A defining night ahead
968,0,What you need to know about tonight's Canadian election
969,A visual guide to the big issues in Canada 's federal election,"A visual guide to the big issues in Canada's federal election, from the climate to cost of living"
970,0,Here's two years of Trudeau in two minutes
971,0,Canadians will go to the polls on Monday - what are the key issues for voters?
972,Princess Beatrice,Princess Beatrice gives birth to a girl
973,Japanese sisters,Japanese sisters certified world's oldest twins by Guinness World Records
974,"Romeo Beckham , son of former England player David Beckham ,","Romeo Beckham, son of former England player David Beckham, makes debut for Fort Lauderdale"
975,0,US opens up to fully vaccinated EU and UK passengers
976,Nancy Pelosi,"Nancy Pelosi gifts US flag to Chorley, England for hosting G7 summit"
977,0,Covid vaccination begins for UK 12 to 15 year olds
978,"Children given daily time limit on Douyin , China 's version","Children given daily time limit on Douyin, China's version of TikTok"
979,0,Can apps manage our chronic health conditions?
980,0,Canary Islands: Spanish PM arrives amid volcano eruption
981,Canada election,Canada election: What you need to know about the campaign
982,0,Migrants in Texas: US flies Haitian migrants back home from border
983,0,Afghanistan: Further 11 Irish citizens moved out of country
984,Volcano on Canary Island La Palma,"Volcano on Canary Island La Palma erupts, spewing ash and lava into national park"
985,0,"Stay home, female Kabul government workers told"
986,0,Boxing star Manny Pacquiao to run for Philippines president
987,0,US officials move thousands of migrants away from Texas border town to processing centres
988,0,Get an Eiffel of this performer walking the line in Paris
989,0,US to start flying migrants back to Haiti on Sunday after thousands gathered under border bridge
990,0,Planes turned into graffiti canvasses by street artist
991,Ros Atkins On,Ros Atkins On… the ethics of Covid booster jabs
992,0,Thousands of migrants gather at US-Mexico border crossing
993,it,Why it takes 30 years to buy a house in Canada
994,Angela Merkel,German elections: How Angela Merkel changed her country
995,"Abdelaziz Bouteflika , Algeria 's longest - serving president","Abdelaziz Bouteflika, Algeria's longest-serving president dies"
996,Three Chinese astronauts,Three Chinese astronauts return to Earth after completing the country's longest crewed space mission
997,0,Idle taxis used to grow food for out-of-work drivers in Thailand
998,UK,UK travel update: Amber list scrapped in overhaul of travel rules in England
999,Taliban morality police,Taliban morality police replace women's ministry in Afghanistan
1000,Three Chinese astronauts,Three Chinese astronauts return to Earth after 90 days in space
1001,0,Tech Tent - what next for Wikipedia?
1002,0,Astronauts return to earth after China's longest space mission
1003,California fires,California fires: Blankets wrapped around world's biggest trees
1004,Africa 's week in pictures,Africa's week in pictures: 10-16 September 2021
1005,The man who could topple Trudeau,Canada federal election: The man who could topple Trudeau
1006,Southwest Airlines,Southwest Airlines pays staff extra to get jabbed
1007,North Korea,North Korea reveals train-launched missile system
1008,activists,TV show where activists compete with one another for their chosen cause has been reworked after backlash
1009,LS Lowry,LS Lowry painting sold for £350k in Isle of Man auction
1010,France,"France suspends 3,000 unvaccinated health workers"
1011,Marks and Spencer,Marks  and  Spencer to close 11 French stores
1012,0,Call for investigation of menstrual changes after Covid jabs
1013,0,Ros Atkins on... why people are using a horse drug
1014,UK power prices,UK power prices soar after key cable hit by blaze
1015,0,The homemakers breaking taboos on Instagram
1016,Morocco 's king,How Morocco's king dealt a blow to political Islam
1017,Life under Taliban,Life under Taliban rule one month on
1018,Microsoft 's passwordless plans,Microsoft's passwordless plans lets users switch to app-based login
1019,0,Australian bandicoot brought back from brink of extinction
1020,The lives,The lives upended by Australia's sealed border
1021,Simone Biles,Simone Biles to testify at Senate hearing into Nassar
1022,Biden,Biden administration requests Texas abortion law pause
1023,TikTok,TikTok faces privacy investigations by EU watchdog
1024,' Massive ' transatlantic data cable,'Massive' transatlantic data cable brought ashore on beach in Cornwall
1025,Saudi Arabia camel carvings,Saudi Arabia camel carvings dated to prehistoric era
1026,Russian elections,Russian elections: How democratic are they?
1027,The Simon Coveney appointment row,Q and A: The Simon Coveney appointment row
1028,California recall,California recall: Democratic governor survives bid to oust him - US media
1029,the Nazis,When the Nazis sent scientists to the Himalayas
1030,0,"Taliban leaders in bust-up at presidential palace, sources say"
1031,Apple iPhone,Apple iPhone 13 launches portrait mode for video
1032,Apple iPhone 13,Apple iPhone 13 brings portrait mode for video
1033,0,Boeing says air travel to return to pre-pandemic levels by 2024
1034,0,Asteroid that wiped out dinosaurs shaped fortunes of snakes
1035,Millions of children around the world,"Millions of children around the world are being offered a Covid vaccine

But approaches do differ from country to country"
1036,The toxic gas flares fuelling Nigeria 's climate change,Life at 50C: The toxic gas flares fuelling Nigeria's climate change
1037,"Whale , whale , whale","Whale, whale, whale, what do we have here? 🐋"
1038,0,Celebrities show off lavish outfits at Met Gala
1039,0,Which countries are vaccinating children and why?
1040,Twenty years after 9/11,"Twenty years after 9/11, will al-Qaeda rise again?"
1041,Canada federal election,Canada federal election: A look at the key numbers driving the campaign
1042,US Secretary of State Blinken,US Secretary of State Blinken grilled by Congress over Afghanistan exit
1043,Afghan women,Afghan women hit back at Taliban with [#]DoNotTouchMyClothes campaign
1044,Arc de Triomphe,Arc de Triomphe wrapped in fabric in tribute to artist
1045,North Korea,"Four reasons why North Korea keeps launching missiles, by @BBCLBicker"
1046,UN,UN seeks millions in international aid for Afghanistan
1047,North Korea,Why North Korea keeps launching missiles
1048,Gujarat chief ministers,Why Gujarat chief ministers can't finish their term
1049,0,The country where a year lasts 13 months
1050,Alibaba slides on report of China,Alibaba slides on report of China plans to break up payment app
1051,' guerrilla warfare ’,Kenyan influencers paid to take 'guerrilla warfare’ online
1052,Merkel legacy,Merkel legacy: EU's queen with a tarnished crown
1053,Universities in Afghanistan,Universities in Afghanistan to be segregated by gender
1054,Pope,Pope meets Hungary's populist leader Orban
1055,Families and leaders,Families and leaders mark 20th anniversary of 9/11
1056,FBI,FBI begins declassifying documents into Saudi 9/11 links
1057,Canada election,Canada election: What is your 'ballot box' issue?
1058,0,Keeping up with the Californians: Recall vote 2021
1059,US President Joe Biden,"US President Joe Biden lays wreath at Shanksville, Pennsylvania, in his second 9/11 memorial event of the day"
1060,Cristiano Ronaldo,Cristiano Ronaldo starts for Man Utd v Newcastle Utd
1061,0,"Fifth moment of silence commemorates a fourth plane, Flight 93, which crashed into a field in Shanksville, Pennsylvania, at 10:03 local time (15:03 BST)"
1062,0,All of Disney's 2021 movies to debut exclusively in cinemas
1063,Emma Raducanu,Emma Raducanu faces fellow teenager Leylah Fernandez in US open final
1064,9/11 anniversary,9/11 anniversary: Left without a parent after that day
1065,90 percent of adults in Republic of Ireland,90 percent  of adults in Republic of Ireland now fully vaccinated
1066,0,Fortnite video chat app Houseparty to close
1067,Africa 's week,Africa's week in pictures
1068,0,Key takeaways from Canada federal election debate
1069,Afghanistan,Afghanistan: What has changed in 20 years
1070,the world,How the world reacted to 9/11
1071,I,'I'll be at front of queue to change my slave name'
1072,Biden,Covid: Biden requires employees of big businesses to be vaccinated or face testing
1073,Journalists in Afghanistan,Journalists in Afghanistan tell of beatings by Taliban
1074,Biden administration,Biden administration sues Texas over restrictive abortion law
1075,0,Hong Kong police raid Tiananmen Square museum
1076,0,Isle of Man schools to monitor air quality data for pupils
1077,0,The $10bn James Webb Space Telescope given mid-December launch date
1078,PayPal,PayPal raises fees between UK and Europe
1079,Instagram,The models that turned Instagram into their DIY catwalk
1080,Sydney,Sydney reveals plan to end months-long Covid lockdown
1081,0,"Fossil fuels must stay underground, scientists say"
1082,the mystery of the microwaves,‘Havana syndrome ’ and the mystery of the microwaves
1083,Fortnite gamer 's mum,Fortnite gamer's mum becomes pro herself
1084,Two years of Justin Trudeau in two minutes as Canada,Two years of Justin Trudeau in two minutes as Canada snap election is called
1085,International Olympic Committee,International Olympic Committee suspends North Korea until end of 2022 for skipping Tokyo Games
1086,Philippines President Rodrigo Duterte,Philippines President Rodrigo Duterte to stand as vice-president
1087,Britney Spears ' father,Britney Spears' father formally files to end conservatorship
1088,Mullah Mohammad Hassan Akhund,"Mullah Mohammad Hassan Akhund will lead the Taliban's cabinet in Afghanistan

What we know about him and the rest of the Taliban leadership  ⬇️"
1089,Twitter,Twitter tests bigger pictures in timeline
1090,Russian emergencies minister Zinichev,Russian emergencies minister Zinichev dies on Arctic drill
1091,Bodies of three people with gunshot wounds,"Bodies of three people with gunshot wounds found in County Kerry, Ireland"
1092,0,"As Canadians prepare to head back to the polls, here are some key moments since the last election"
1093,County Kerry,County Kerry: Bodies of three people with gunshot wounds found
1094,Texas,Texas enacts restrictive voting rights overhaul
1095,Audio of Ripper the ' talking ' Australian duck,Audio of Ripper the 'talking' Australian duck rediscovered
1096,0,The pledge binding al-Qaeda to the Taliban
1097,Brazil 's President Jair Bolsonaro signs bill to limit power,Brazil's President Jair Bolsonaro signs bill to limit power of tech giants
1098,0,The South African farm turning flies into food for pets - and maybe people
1099,Ben 's restoration as it,Inside Big Ben's restoration as it nears finish
1100,Guinea coup,Guinea coup: Who is Col Mamady Doumbouya?
1101,the ' 9/11 mastermind ' slipped through FBI 's fingers,How the '9/11 mastermind' slipped through FBI's fingers
1102,Taliban claim,Taliban claim to have taken Afghanistan's Panjshir Valley
1103,Pussycat Dolls ' Nicole Scherzinger,Pussycat Dolls' Nicole Scherzinger sued over 'extortion'
1104,Soldiers in Guinea,Soldiers in Guinea seek to tighten grip after ousting Alpha Condé
1105,El Salvador court rules presidents,El Salvador court rules presidents can serve two consecutive terms
1106,Sri Lanka 's larger than life music legend,Sunil Perera: Sri Lanka's larger than life music legend dies of Covid
1107,Pro-Kremlin,"Pro-Kremlin trolls target news website comments, researchers say"
1108,South Africa 's ex-president Zuma,South Africa's ex-president Zuma placed on medical parole
1109,Roman courtyard unearthed at WW2 bunker site,Alderney: Roman courtyard unearthed at WW2 bunker site
1110,0,HSE cyber-attack: Irish health service still recovering months after hack
1111,My,'My parents won't let me get the Covid vaccine'
1112,he,Afghanistan: Former vice-president tells BBC he's in Panjshir Valley
1113,China 's bitcoin miners,Why China's bitcoin miners are moving to Texas
1114,Afghanistan,Afghanistan: What rise of Taliban means for Pakistan
1115,US jobs growth,US jobs growth disappoints as recovery falters
1116,Israel,What Israel tells us about the way out of the Covid pandemic
1117,Hurricane Ida,Will Hurricane Ida cause a spike in Covid?
1118,Taliban,Taliban says it will 'raise voice for Kashmir Muslims' in Afghanistan
1119,0,Irish Leaving Certificate grades up 2.4 percent  on 2020
1120,Australia,Why has Australia switched tack on Covid zero?
1121,Mexican boxer Jeanette Zacarias Zapata,Mexican boxer Jeanette Zacarias Zapata dies days after knockout in Montreal
1122,Ramsey seaside murals,Ramsey seaside murals plan to spruce up town's promenade
1123,"North Korea ’s founding father , Kim Il - sung ,","How North Korea’s founding father, Kim Il-sung, came to power"
1124,Australia to get Pfizer doses from UK in vaccine swap,Covid: Australia to get Pfizer doses from UK in vaccine swap
1125,0,Study links air pollution with obesity and asthma among children
